Year,Day,Hour,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,D_kPa,RH_Perc
2023,210,12,405.3610503282275,6.32,1.004033,40.08135,5.968265792006372,19.50489
2023,210,13,390.0437636761488,0.0,1.689667,40.86965,6.320534362369039,18.25118
2023,210,14,363.2385120350109,0.0,2.143,41.82962,6.7283596998314925,17.27798
2023,210,15,311.816192560175,0.0,3.260333,42.6248,7.1126324730721,16.12719
2023,210,16,243.43544857768052,0.0,2.380333,43.23455,7.423708893584371,15.2018
2023,210,17,164.66083150984682,0.0,1.881667,42.83281,7.26459468045953,15.26183
2023,210,18,101.75054704595185,6.32,2.236333,43.18567,7.4540741417631375,14.63783
2023,210,19,28.44638949671772,0.0,2.497667,42.25652,7.025766094696939,15.53745
2023,210,20,0.0,0.0,1.916333,41.13875,6.551936361638848,16.45693
2023,210,21,0.0,0.0,2.241667,40.74883,6.412496333059783,16.52882
2023,210,22,0.0,0.0,0.4619333,39.48053,5.842391566825977,18.6329
2023,210,23,0.0,0.0,1.204333,38.80293,5.569271177487271,19.56451
2023,211,00,0.0,6.32,0.6449667,37.88002,5.186744886457674,21.26312
2023,211,01,0.0,0.0,0.9494333,38.29976,5.432862508981211,19.37777
2023,211,02,0.0,0.0,0.04046667,37.23193,5.042992985862648,20.70404
2023,211,03,0.0,0.0,0.1171667,35.48863,4.281432580035487,25.93481
2023,211,04,0.0,0.0,1.983,35.45539,4.298724113469195,25.4993
2023,211,05,0.0,0.0,0.1011667,34.56608,3.887986451230277,29.22047
2023,211,06,6.017505470459518,6.32,0.08093333,34.08577,3.7258329248479836,30.33698
2023,211,07,36.65207877461707,0.0,1.900333,33.86566,3.6129148303270116,31.61443
2023,211,08,86.43326039387308,0.0,1.777667,33.80403,3.5132701710665235,33.27146
2023,211,09,177.78993435448575,0.0,2.761667,34.66816,3.807270346660706,31.08124
2023,211,10,331.50984682713346,0.0,2.639,36.23647,4.283229641047334,28.88768
2023,211,11,173.96061269146608,0.0,2.121667,35.93777,4.162749791685886,29.74581
2023,211,12,274.617067833698,6.32,3.279,36.80402,4.614197988754529,25.73449
2023,211,13,351.75054704595186,0.0,2.401666,37.93555,5.041689100729749,23.6949
2023,211,14,392.2319474835886,0.0,1.823,39.40825,5.620393848133264,21.42115
2023,211,15,263.1291028446389,0.0,0.7069333,40.14016,6.020824066725897,19.05009
2023,211,16,251.09409190371989,0.0,2.060333,41.06672,6.473201943330394,17.14575
2023,211,17,173.41356673960613,0.0,2.148333,41.86804,6.857347005955116,15.8624
