"TIMESTAMP","RECORD","DateTime(1)","DateTime(9)","DateTime(4)","DateTime(5)","Target","BattVolt_Avg","Pnl_Tmp_Avg","WindSpeed_Avg","AirT_Avg","AirRH_Avg","mV_tpile_Avg(1)","mV_tpile_Avg(2)","TbodyC_Avg(1)","TbodyC_Avg(2)","TtarRC_Avg","TtarHC_Avg","TadjH_Avg","T_Diffrns_Avg","PID_out_Avg","PID_lmt_Avg","ScldOut_Avg","TrelayBox_Avg"
"2023-09-10 02:50:00",14900,2023,253,2,50,3,12.90041,26.10918,0.0607,30.01615,27.31952,"NAN",-2.389201,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.26169
"2023-09-10 02:55:00",14901,2023,253,2,55,3,12.90007,26.16295,0,30.12928,27.40092,"NAN",-2.446589,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.48428
"2023-09-10 03:00:00",14902,2023,253,3,0,3,12.89986,26.25242,0,29.87279,27.51797,"NAN",-2.444605,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.57913
"2023-09-10 03:05:00",14903,2023,253,3,5,3,12.89993,26.32261,0,29.46447,28.79628,"NAN",-2.545664,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.64927
"2023-09-10 03:10:00",14904,2023,253,3,10,3,12.89923,26.39746,0,29.18123,30.03419,"NAN",-2.506267,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.69686
"2023-09-10 03:15:00",14905,2023,253,3,15,3,12.89963,26.43451,0,29.02648,29.77484,"NAN",-2.559082,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.59781
"2023-09-10 03:20:00",14906,2023,253,3,20,3,12.89912,26.47428,0.05536667,29.25489,29.39079,"NAN",-2.591252,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.76275
"2023-09-10 03:25:00",14907,2023,253,3,25,3,12.89866,26.51916,0.03513334,29.59561,28.91381,"NAN",-2.542854,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.8457
"2023-09-10 03:30:00",14908,2023,253,3,30,3,12.89865,26.57534,0,29.42284,29.43986,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.79302
"2023-09-10 03:35:00",14909,2023,253,3,35,3,12.89871,26.6078,0,29.18265,30.53093,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.77104
"2023-09-10 03:40:00",14910,2023,253,3,40,3,12.89771,26.63423,0,29.20483,30.59175,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.77569
"2023-09-10 03:45:00",14911,2023,253,3,45,3,12.89747,26.65216,0,28.834,30.74754,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",26.64666
