year,julian-day,standard-time,leaftemp
2023,244,20,27.306666666666665
2023,244,21,25.788888888888888
2023,244,22,24.951666666666668
2023,244,23,25.045
2023,245,0,25.181666666666665
2023,245,1,24.09777777777778
2023,245,2,24.108888888888888
2023,245,3,24.068333333333335
2023,245,4,24.17111111111111
2023,245,5,23.905
2023,245,6,23.482222222222223
2023,245,7,25.761666666666667
2023,245,8,28.263333333333335
2023,245,9,31.078888888888887
2023,245,10,33.845
2023,245,11,35.69555555555556
2023,245,12,37.147777777777776
2023,245,13,37.07888888888888
2023,245,14,37.05277777777778
2023,245,15,35.638888888888886
2023,245,16,35.641666666666666
2023,245,17,35.985
2023,245,18,33.25833333333333
2023,245,19,31.16111111111111
2023,245,20,29.047777777777778
2023,245,21,28.060555555555553
2023,245,22,27.50722222222222
2023,245,23,27.133888888888887
2023,246,0,25.95777777777778
2023,246,1,25.442777777777778
2023,246,2,24.653888888888886
2023,246,3,24.80777777777778
2023,246,4,24.50722222222222
2023,246,5,23.736666666666665
2023,246,6,22.380555555555556
2023,246,7,25.942777777777778
2023,246,8,29.382777777777775
2023,246,9,32.321666666666665
2023,246,10,34.79388888888889
2023,246,11,36.272777777777776
2023,246,12,37.26611111111111
2023,246,13,37.77222222222222
2023,246,14,38.58611111111111
2023,246,15,38.92388888888889
2023,246,16,38.82555555555555
2023,246,17,38.27444444444445
2023,246,18,36.11611111111111
2023,246,19,33.29055555555556
2023,246,20,32.31166666666667
2023,246,21,31.50944444444444
2023,246,22,28.94055555555555
2023,246,23,26.758888888888887
2023,247,0,26.99111111111111
2023,247,1,25.503888888888888
2023,247,2,25.542777777777776
2023,247,3,24.66111111111111
2023,247,4,25.48166666666667
2023,247,5,24.35388888888889
2023,247,6,24.718333333333334
2023,247,7,26.849444444444444
2023,247,8,30.282222222222224
2023,247,9,32.916666666666664
2023,247,10,34.66222222222222
2023,247,11,35.91833333333333
2023,247,12,37.055
2023,247,13,37.79277777777778
2023,247,14,38.89944444444445
2023,247,15,39.01444444444444
2023,247,16,38.74333333333333
2023,247,17,37.589444444444446
2023,247,18,35.211111111111116
2023,247,19,32.90555555555555
2023,247,20,31.646666666666665
2023,247,21,30.34722222222222
2023,247,22,28.865000000000002
2023,247,23,28.61888888888889
2023,248,0,28.207222222222224
2023,248,1,25.101666666666667
2023,248,2,22.058333333333334
2023,248,3,20.98611111111111
2023,248,4,20.071111111111108
2023,248,5,20.263333333333335
2023,248,6,20.70888888888889
2023,248,7,23.295555555555556
2023,248,8,28.21055555555556
2023,248,9,31.320555555555554
2023,248,10,33.221666666666664
2023,248,11,34.89611111111111
2023,248,12,36.91722222222222
2023,248,13,37.69833333333334
2023,248,14,38.66444444444445
2023,248,15,39.03055555555555
2023,248,16,39.33111111111111
2023,248,17,38.26
2023,248,18,35.571666666666665
2023,248,19,32.05444444444444
2023,248,20,30.62277777777778
2023,248,21,30.30944444444445
2023,248,22,29.71388888888889
2023,248,23,29.425555555555555
2023,249,0,27.16444444444444
2023,249,1,23.396666666666665
2023,249,2,22.185
2023,249,3,20.311111111111114
2023,249,4,19.864444444444445
2023,249,5,19.608888888888888
2023,249,6,19.461666666666666
2023,249,7,23.215555555555554
2023,249,8,27.964444444444446
2023,249,9,31.757777777777775
2023,249,10,34.05444444444444
2023,249,11,36.31444444444444
2023,249,12,38.04833333333333
2023,249,13,38.86944444444444
2023,249,14,40.06777777777778
2023,249,15,40.19833333333333
2023,249,16,40.17611111111111
2023,249,17,39.43277777777777
2023,249,18,35.949444444444445
2023,249,19,32.345555555555556
2023,249,20,31.428888888888892
2023,249,21,30.987222222222222
2023,249,22,29.179444444444446
2023,249,23,24.635
2023,250,0,22.858333333333334
2023,250,1,21.528888888888886
2023,250,2,20.385
2023,250,3,19.618333333333332
2023,250,4,20.386666666666667
2023,250,5,20.696111111111108
2023,250,6,19.835
2023,250,7,22.559444444444445
2023,250,8,27.447777777777777
2023,250,9,31.882777777777775
2023,250,10,35.059444444444445
2023,250,11,37.184444444444445
2023,250,12,39.24611111111111
2023,250,13,40.330000000000005
2023,250,14,41.565555555555555
2023,250,15,41.64555555555555
2023,250,16,41.38944444444444
2023,250,17,40.36055555555556
2023,250,18,37.678333333333335
2023,250,19,34.349444444444444
2023,250,20,33.31944444444444
2023,250,21,28.95444444444444
2023,250,22,31.778333333333332
2023,250,23,29.313888888888886
2023,251,0,26.690555555555555
2023,251,1,25.630555555555556
2023,251,2,24.144444444444446
2023,251,3,24.545
2023,251,4,25.391666666666666
2023,251,5,26.862777777777776
2023,251,6,24.871111111111112
2023,251,7,25.010555555555555
2023,251,8,30.58277777777778
2023,251,9,34.04944444444445
2023,251,10,36.90777777777778
2023,251,11,39.31555555555556
2023,251,12,40.642222222222216
2023,251,13,41.78388888888889
2023,251,14,42.71222222222222
2023,251,15,43.235
2023,251,16,43.14055555555555
2023,251,17,41.730555555555554
2023,251,18,38.583333333333336
2023,251,19,36.702777777777776
2023,251,20,36.09833333333333
2023,251,21,33.617222222222225
2023,251,22,32.11944444444444
2023,251,23,30.921666666666667
2023,252,0,29.474999999999998
